researcher,unidad_academica,CENTRO,ZONA,id_scholar,h_index,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
GERARDO GRANADOS ACUNA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",BUCARAMANGA,CENTRO ORIENTE,NA,NA,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001189050,DAVINCI,2011-07-01, Actual,Maestría/Magister,Investigador Junior (IJ),11,0,0,24,0,0
HAROLD EMILIO CABRERA MEZA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",PASTO,CENTRO SUR,NA,NA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000533840,DAVINCI,2007-01-01, Actual,Maestría/Magister,Sin clasificar,3,2,1,1,0,3
MARIANO ESTEBAN ROMERO TORRES,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",SAHAGUN,CARIBE,NA,NA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001499864,DAVINCI,2017-01-01, Actual,Maestría/Magister,Investigador Junior (IJ),1,2,0,0,0,15
OSCAR CAMILO FUENTES AMIN,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",SAHAGUN,CARIBE,NA,NA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000011752,DAVINCI,2019-01-01, Actual,Especialización,Sin clasificar,0,0,0,0,0,0
ROGER RICARDO NEGRETE PEREZ,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",SAHAGUN,CARIBE,NA,NA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000133503,DAVINCI,2017-01-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
ROLANDO FABIAN JUNCO ORDUZ,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",TUNJA,CENTRO BOYACA,NA,NA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001427585,DAVINCI,2020-01-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
CLEMENCIA DEL SOCORRO ALAVA VITERI,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",PASTO,CENTRO SUR,NA,NA,Integrante,12,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000533866,BIOTICS,2011-08-01, Actual,Maestría/Magister,Sin clasificar,1,0,1,0,0,9
ANDREA VASQUEZ GARCIA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",PALMIRA,CENTRO SUR,NA,NA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001400835,BIOTICS,2020-01-01, Actual,Doctorado,Sin clasificar,1,0,0,0,0,22
ANGELICA MARIA GUAPACHA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",EJE CAFETERO (PEREIRA),OCCIDENTE,zKQnj6kAAAAJ,0,Integrante,12,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001411212,BIOTICS,2018-01-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
BEATRIZ GUEVARA GUERRERO,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",* SEDE NACIONAL JOSE CELESTINO MUTIS,SEDE NACIONAL JOSE CELESTINO MUTIS,NA,NA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001476408,BIOTICS,2018-01-01, Actual,Maestría/Magister,Sin clasificar,4,0,0,0,0,3
